MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
5.92,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046255574,2.87997259937545E-05,2.85154088431969E-05,14.3611861937497,97.343878613159,1.9472574383574E-15,1792.88950707406,92.6355102164671,-6362518.44454033
5.96,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049217179,2.0935708802219E-05,1.19094140304578E-05,14.3611871135405,34.0202645350264,2.2453890430912E-15,1.75807554114726E-06,92.63551036641,-6362518.44414733
6.02,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047065824,2.54458629027856E-05,2.4818114302343E-05,14.3611889531223,102.041366063725,2.06207992513273E-15,1792.88950694329,92.6355101801455,-6362518.44446769
6.06,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046609476,2.31981922455016E-05,2.31883600583936E-05,14.3611907927047,90.981628061158,2.06899947729681E-15,1792.88950750008,92.6355102816597,-6362518.44434395
6.12,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048127532,1.62620816620057E-05,1.38678550434873E-05,14.3611926322875,57.8107170773194,2.39423966463314E-15,8.67218091116229E-07,92.6355104697868,-6362518.44426405
6.16,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047904015,1.99339420294839E-05,1.83341415966124E-05,14.3611935520791,66.2598830913413,2.00746177860026E-15,7.98910605226411E-07,92.6355104781687,-6362518.44415407
6.22,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044048339,3.02671321965989E-05,2.85662367592171E-05,14.3611944718708,108.587949733712,1.92124667350185E-15,1792.88950646962,92.63551025372,-6362518.44452898
6.26,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047922641,2.26419720055705E-05,2.2543025424343E-05,14.3611944718708,83.9103499936046,2.04630799063941E-15,2.15898808164638E-07,92.6355105536059,-6362518.4445358
6.32,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046832994,2.11026259590182E-05,1.87513182730083E-05,14.3611944718708,116.567264987007,2.13634274963461E-15,1792.88950651013,92.6355103543028,-6362518.44451125
6.36,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044532627,2.95408393010546E-05,2.80913173880643E-05,14.3611935520791,107.325541654232,1.97379478039742E-15,1792.88950658996,92.6355102146044,-6362518.44445263
